HEADER
VTF File Version,1.1
VTF File Type,0
PID,3583827
Generated on,2026-02-20 01:52:26
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,3583830

STRUCTURE
Group_Start,User and Internal Events
Dynamic_Row,1,General,User Events from APIs and Internally Generated Events
Group_End,User and Internal Events

MAPPING
450,0:13:94222251248928
98,0:13:94222252482528
319,0:13:94222252739472
992,0:13:94222253727696
189,0:13:94222253735904
180,0:13:94222253899744
453,0:13:94222254091456
584,0:13:94222254338016
173,0:13:94222254411744
1993,0:13:94222254903248
356,0:13:94222255845344
206,0:13:94222255947744
563,0:13:94222256791296
30,0:13:94222261159296
77,0:13:94222261198096
33,0:13:94222261273344
79,0:13:94222263748016
78,0:13:94222264165696
36,0:13:94222268416528
80,0:13:94222268882832
82,0:13:94222274031024
40,0:13:94222274684624
39,0:13:94222275374528
41,0:13:94222278565744
44,0:13:94222280482560
70,0:13:94222281360208
50,0:13:94222285504992
52,0:13:94222286054160
47,0:13:94222286257616
51,0:13:94222287132464
53,0:13:94222287309008
54,0:13:94222287360944
55,0:13:94222290694400
56,0:13:94222292673152
57,0:13:94222294543072
60,0:13:94222294977712
58,0:13:94222295170800
59,0:13:94222295338976
61,0:13:94222295573392
63,0:13:94222295659840
62,0:13:94222297392624
65,0:13:94222297628896
66,0:13:94222299361744
68,0:13:94222300726736
69,0:13:94222303728288
72,0:13:94222304357216
71,0:13:94222304800528
74,0:13:94222305214032
330,0:13:94222307782624
586,0:13:94222308268144
133,0:13:94222308663264
612,0:13:94222309298592
122,0:13:94222310047712
1636,0:13:94222310272976
1716,0:13:94222310805456
569,0:13:94222311004656
186,0:13:94222312493024
1422,0:13:94222312943568
284,0:13:94222313048976
274,0:13:94222313967584
194,0:13:94222314991584
493,0:13:94222315286496
852,0:13:94222316138448
130,0:13:94222316773344
657,0:13:94222317266608
147,0:13:94222317629408
175,0:13:94222318297056
263,0:13:94222318570560
236,0:13:94222318792672
1638,0:13:94222319050704
490,0:13:94222319154176
209,0:13:94222319460320
623,0:13:94222320561536
1103,0:13:94222320881616
1601,0:13:94222321233872
558,0:13:94222321277872
654,0:13:94222321474624
492,0:13:94222321878592
256,0:13:94222321924592
497,0:13:94222321932112
199,0:13:94222322020320
1818,0:13:94222322520016
211,0:13:94222322642912
208,0:13:94222323736544
652,0:13:94222324224112
560,0:13:94222324678208
290,0:13:94222324874192
156,0:13:94222325284832
1518,0:13:94222325723088
1018,0:13:94222326067152
987,0:13:94222326411216
504,0:13:94222326633472
1270,0:13:94222326972368
1810,0:13:94222328029136
650,0:13:94222328127456
315,0:13:94222328430320
491,0:13:94222328457968
148,0:13:94222328840160
857,0:13:94222329929680
243,0:13:94222330114016
193,0:13:94222330204128
150,0:13:94222330900448
551,0:13:94222331243328
578,0:13:94222331746320
498,0:13:94222332017344
1367,0:13:94222332886992
1092,0:13:94222333521872
332,0:13:94222334269264
146,0:13:94222334513120
227,0:13:94222334648288
224,0:13:94222335066080
519,0:13:94222337633440
239,0:13:94222337646560
576,0:13:94222337679328
618,0:13:94222339035104
191,0:13:94222339248096
1790,0:13:94222340579280
286,0:13:94222340607856
587,0:13:94222340619168
1208,0:13:94222341529552
187,0:13:94222341562336
160,0:13:94222341640160
1210,0:13:94222341926864
879,0:13:94222342926288
559,0:13:94222342950496
1392,0:13:94222343417808
2042,0:13:94222343565264
604,0:13:94222344155104
308,0:13:94222344263776
932,0:13:94222346039248
517,0:13:94222347119856
534,0:13:94222347517920
615,0:13:94222347690640
818,0:13:94222348189648
228,0:13:94222348251104
800,0:13:94222348255184
1915,0:13:94222349660112
144,0:13:94222350061536
860,0:13:94222350389200
635,0:13:94222351056864
1096,0:13:94222351749072
114,0:13:94222352023520
744,0:13:94222352097232
97,0:13:94222352596960
188,0:13:94222354075616
169,0:13:94222354100192
605,0:13:94222354477024
176,0:13:94222354874336
636,0:13:94222355095520
312,0:13:94222355431392
735,0:13:94222355529680
213,0:13:94222355832800
124,0:13:94222356090848
804,0:13:94222356897744
268,0:13:94222357753824
1869,0:13:94222358015952
212,0:13:94222358425568
1493,0:13:94222359007184
