HEADER
VTF File Version,1.1
VTF File Type,1
PID,3583827
Generated on,2026-02-20 01:51:34
Resolution,ms
Min Resolution,ns
Trace Version,1.1
TraceID,3583828
XRT  Version,2.18.179
Tool Version,2024.2
Platform,xilinx_u50_gen3x16_xdma_base_5
Target,System Run

STRUCTURE
Group_Start,xilinx_u50_gen3x16_xdma_base_5
Group_Start,edge_conv_compute_kernel.xclbin
Group_Start,Compute Unit edge_conv_compute_kernel_1,Activity in accelerator edge_conv_compute_kernel:edge_conv_compute_kernel_1
Dynamic_Row_Summary,1,Executions,Execution in accelerator edge_conv_compute_kernel_1
Group_Start,m_axi_mem-HBM[0](out|node_feature_in|edge_list_in|graphmet_embed_charge_weight_in|graphmet_embed_pdgid_weight_in|graphmet_embed_continuous_0_weight_in|graphmet_embed_continuous_0_bias_in|graphmet_embed_categorical_0_weight_in|graphmet_embed_categorical_0_bias_in|graphmet_encode_all_weight_in|graphmet_encode_all_bias_in|graphmet_bn_all_weight_in|graphmet_bn_all_bias_in|graphmet_bn_all_running_mean_in|graphmet_bn_all_running_var_in|graphmet_edge_conv_linear_weight_in|graphmet_edge_conv_linear_bias_in|graphmet_edge_conv_batchnorm_weight_in|graphmet_edge_conv_batchnorm_bias_in|graphmet_edge_conv_batchnorm_mean_in|graphmet_edge_conv_batchnorm_variance_in|graphmet_output_0_weight_in|graphmet_output_0_bias_in|graphmet_output_2_weight_in|graphmet_output_2_bias_in),Data Transfers between edge_conv_compute_kernel_1 and Global Memory over read and write channels of edge_conv_compute_kernel_1/m_axi_mem-HBM[0]
Static_Row,2,Read Channel,Read Data Transfers 
Static_Row,3,Write Channel,Write Data Transfers 
Group_End,m_axi_mem-HBM[0](out|node_feature_in|edge_list_in|graphmet_embed_charge_weight_in|graphmet_embed_pdgid_weight_in|graphmet_embed_continuous_0_weight_in|graphmet_embed_continuous_0_bias_in|graphmet_embed_categorical_0_weight_in|graphmet_embed_categorical_0_bias_in|graphmet_encode_all_weight_in|graphmet_encode_all_bias_in|graphmet_bn_all_weight_in|graphmet_bn_all_bias_in|graphmet_bn_all_running_mean_in|graphmet_bn_all_running_var_in|graphmet_edge_conv_linear_weight_in|graphmet_edge_conv_linear_bias_in|graphmet_edge_conv_batchnorm_weight_in|graphmet_edge_conv_batchnorm_bias_in|graphmet_edge_conv_batchnorm_mean_in|graphmet_edge_conv_batchnorm_variance_in|graphmet_output_0_weight_in|graphmet_output_0_bias_in|graphmet_output_2_weight_in|graphmet_output_2_bias_in)
Group_End,edge_conv_compute_kernel_1
Group_End,edge_conv_compute_kernel.xclbin
Group_End,xilinx_u50_gen3x16_xdma_base_5

MAPPING
21,0:0:0
42,0:13:0
2048,0:13:4767081611867193344
197,0:13:94222097207264
164,0:13:94222097915872
129,0:13:94222098640864
376,0:13:94222098816992
378,0:13:94222099496624
334,0:13:94222099770320
348,0:13:94222100123616
533,0:13:94222100307936
611,0:13:94222100520928
364,0:13:94222101501904
248,0:13:94222101551936
597,0:13:94222101597040
600,0:13:94222101597504
359,0:13:94222101867920
362,0:13:94222102246944
365,0:13:94222102387408
158,0:13:94222103199712
651,0:13:94222103270304
309,0:13:94222103718192
373,0:13:94222104342384
579,0:13:94222104444720
1033,0:13:94222104559568
181,0:13:94222104711136
121,0:13:94222104760288
377,0:13:94222105100256
183,0:13:94222105391072
1747,0:13:94222105403344
88,0:13:94222105624544
871,0:13:94222105825232
295,0:13:94222106101008
261,0:13:94222106171040
271,0:13:94222106286624
1774,0:13:94222106714064
131,0:13:94222106767328
207,0:13:94222107439072
941,0:13:94222109040592
221,0:13:94222109298656
383,0:13:94222110007264
379,0:13:94222110089184
380,0:13:94222110669936
382,0:13:94222110795520
642,0:13:94222111380256
995,0:13:94222111387600
252,0:13:94222112284640
552,0:13:94222112309024
394,0:13:94222112861984
386,0:13:94222113116128
292,0:13:94222113458128
392,0:13:94222113566688
506,0:13:94222114120864
177,0:13:94222114242528
282,0:13:94222114462384
643,0:13:94222114593184
641,0:13:94222114595168
361,0:13:94222114877408
573,0:13:94222114912160
358,0:13:94222115016672
1427,0:13:94222115078096
360,0:13:94222115441888
387,0:13:94222115770336
598,0:13:94222116126688
388,0:13:94222116147088
633,0:13:94222116325424
797,0:13:94222116892624
242,0:13:94222117052384
155,0:13:94222117437408
226,0:13:94222117797856
161,0:13:94222117830624
553,0:13:94222117893088
555,0:13:94222118133728
868,0:13:94222118146000
1937,0:13:94222118539216
185,0:13:94222119022560
397,0:13:94222119239648
396,0:13:94222119276512
399,0:13:94222119374304
303,0:13:94222120206096
653,0:13:94222120329040
353,0:13:94222121164768
1029,0:13:94222121840592
93,0:13:94222121943008
269,0:13:94222122031520
368,0:13:94222122626736
125,0:13:94222122827744
237,0:13:94222122958816
1925,0:13:94222123028432
554,0:13:94222123686912
2040,0:13:94222124042608
115,0:13:94222124048352
624,0:13:94222124061168
1744,0:13:94222124285904
627,0:13:94222124388320
564,0:13:94222124447536
371,0:13:94222124529440
372,0:13:94222125148000
1280,0:13:94222125547472
350,0:13:94222125690848
588,0:13:94222125890832
143,0:13:94222125989856
241,0:13:94222126104544
1013,0:13:94222126432208
1039,0:13:94222126968784
454,0:13:94222128025568
344,0:13:94222128525280
1547,0:13:94222128635856
455,0:13:94222128779232
457,0:13:94222129426400
137,0:13:94222129926112
262,0:13:94222130066864
1982,0:13:94222131122128
123,0:13:94222131699680
793,0:13:94222132707280
