Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
116,0.327462,0.025436,0.197023,0.019853,0.08515
117,0.325983,0.027562,0.147005,0.037709,0.113707
118,0.266005,0.027154,0.13874,0.019748,0.080363
119,0.383981,0.027934,0.184486,0.037229,0.134332
120,0.300273,0.026206,0.17094,0.020222,0.082905
121,0.374469,0.027652,0.195144,0.037957,0.113716
122,0.327824,0.027768,0.194341,0.021926,0.083789
123,0.339678,0.027382,0.156423,0.037339,0.118534
124,0.292814,0.026191,0.14809,0.020231,0.098302
125,0.390764,0.06405,0.167956,0.037838,0.12092
126,0.394709,0.043812,0.255814,0.025375,0.069708
127,0.417651,0.044264,0.212583,0.037201,0.123603
128,0.516687,0.029858,0.335775,0.053991,0.097063
129,0.681794,0.04075,0.455714,0.063822,0.121508
130,0.425061,0.062475,0.255107,0.021839,0.08564
131,0.342472,0.03367,0.172081,0.037534,0.099187
132,0.285658,0.060335,0.12764,0.020025,0.077658
133,0.423953,0.065217,0.19406,0.037694,0.126982
134,0.407005,0.028778,0.27043,0.020033,0.087764
135,0.375139,0.032532,0.196237,0.038249,0.108121
136,0.385182,0.02544,0.218671,0.063385,0.077686
137,0.473894,0.039486,0.195978,0.078516,0.159914
138,0.478897,0.044354,0.29483,0.021436,0.118277
139,0.51504,0.03113,0.328584,0.039342,0.115984
140,0.304699,0.058588,0.138658,0.026831,0.080622
141,0.399341,0.066222,0.169611,0.03806,0.125448
142,0.324271,0.062807,0.16266,0.022071,0.076733
143,0.43784,0.07225,0.20462,0.045618,0.115352
144,0.269235,0.027395,0.14077,0.021004,0.080066
145,0.283581,0.031078,0.100606,0.037911,0.113986
146,0.223193,0.024092,0.105938,0.020456,0.072707
147,0.31766,0.030748,0.15344,0.038346,0.095126
148,0.34253,0.026595,0.217513,0.019882,0.07854
149,0.424261,0.029454,0.2425,0.037427,0.11488
150,0.354107,0.025926,0.223952,0.02113,0.083099
151,0.337688,0.027925,0.155503,0.038038,0.116222
152,0.25718,0.029416,0.123804,0.021231,0.082729
153,0.369251,0.02997,0.187428,0.0392,0.112653
154,0.287249,0.025617,0.15951,0.024266,0.077856
155,0.298699,0.027282,0.116527,0.037569,0.117321
156,0.256524,0.02386,0.138948,0.019987,0.073729
157,0.39891,0.028516,0.212045,0.037844,0.120505
158,0.235184,0.029185,0.109927,0.022305,0.073767
159,0.36235,0.025273,0.178131,0.037925,0.121021
160,0.358059,0.026782,0.24026,0.019783,0.071234
161,0.667227,0.027055,0.454894,0.06365,0.121628
162,0.37576,0.06328,0.180534,0.022651,0.109295
163,0.28973,0.038171,0.091352,0.037898,0.122309
164,0.233138,0.023898,0.108919,0.024067,0.076254
165,0.402977,0.028636,0.168977,0.067875,0.137489
166,0.307988,0.060829,0.144067,0.021986,0.081106
167,0.274817,0.025791,0.099446,0.037997,0.111583
168,0.35173,0.029222,0.226681,0.019793,0.076034
169,0.329302,0.025796,0.152013,0.038651,0.112842
170,0.265772,0.029013,0.13669,0.019709,0.08036
171,0.26934,0.024821,0.095698,0.036902,0.111919
172,0.324049,0.02458,0.208966,0.019862,0.070641
173,0.294641,0.027615,0.112736,0.0379,0.11639
174,0.283424,0.028667,0.142996,0.020107,0.091654
175,0.459187,0.026874,0.277176,0.037272,0.117865
176,0.226954,0.029337,0.09226,0.022954,0.082403
177,0.331138,0.03189,0.142475,0.037749,0.119024
178,0.262375,0.02519,0.150826,0.019943,0.066416
179,0.375315,0.025922,0.181586,0.037282,0.130525
180,0.21052,0.02835,0.080388,0.019649,0.082133
181,0.297299,0.027555,0.114407,0.037602,0.117735
182,0.344686,0.028963,0.212854,0.020555,0.082314
183,0.287003,0.026925,0.127729,0.03682,0.095529
184,0.277372,0.02813,0.156676,0.020262,0.072304
185,0.463139,0.026748,0.276421,0.038202,0.121768
186,0.351232,0.030316,0.221018,0.019638,0.08026
187,0.353011,0.028537,0.166465,0.037827,0.120182
188,0.732353,0.029168,0.578906,0.046845,0.077434
189,0.360447,0.03591,0.163127,0.044908,0.116502
190,0.250511,0.027315,0.130671,0.020532,0.071993
191,0.452085,0.027945,0.297412,0.036623,0.090105
192,0.263994,0.032206,0.132869,0.022467,0.076452
193,0.322602,0.028255,0.136284,0.037551,0.120512
194,0.26333,0.025206,0.131571,0.019753,0.0868
195,0.321641,0.027412,0.13653,0.038037,0.119662
196,0.357329,0.026736,0.230147,0.024651,0.075795
197,0.424306,0.03067,0.246289,0.037862,0.109485
198,0.336566,0.022195,0.218901,0.021291,0.074179
199,0.438881,0.026725,0.2174,0.067118,0.127638
200,0.461761,0.03842,0.262116,0.051411,0.109814
201,0.575185,0.055105,0.296647,0.066476,0.156957
202,0.566186,0.08318,0.291901,0.050927,0.140178
203,0.411293,0.079085,0.120765,0.067871,0.143572
204,0.4633,0.091935,0.201912,0.050191,0.119262
205,0.417257,0.072266,0.160248,0.0382,0.146543
206,0.416428,0.047253,0.262825,0.025053,0.081297
207,0.440578,0.03413,0.239039,0.037631,0.129778
208,0.307969,0.026488,0.185782,0.021322,0.074377
209,0.309671,0.032345,0.12278,0.037911,0.116635
210,0.352672,0.025873,0.223711,0.024997,0.078091
211,0.363269,0.02798,0.170733,0.037659,0.126897
212,0.521343,0.026873,0.39407,0.020182,0.080218
213,0.335889,0.026995,0.151866,0.044369,0.112659
214,0.448065,0.027395,0.313769,0.023096,0.083805
215,0.345018,0.02963,0.161815,0.03752,0.116053
216,0.338651,0.033296,0.208594,0.021933,0.074828
217,0.369131,0.026278,0.187957,0.037893,0.117003
218,0.258083,0.02922,0.12883,0.021722,0.078311
219,0.30606,0.026568,0.125025,0.037561,0.116906
220,0.388809,0.029049,0.25919,0.021831,0.078739
221,0.324871,0.026568,0.144625,0.037828,0.11585
222,0.35239,0.02869,0.228073,0.022747,0.07288
223,0.358063,0.026287,0.167822,0.03711,0.126844
224,0.455079,0.02964,0.322404,0.022341,0.080694
225,0.418239,0.064018,0.173226,0.063082,0.117913
226,0.465765,0.058274,0.276061,0.025549,0.105881
227,0.508707,0.069317,0.236564,0.038133,0.164693
228,0.282172,0.045866,0.144082,0.021803,0.070421
229,0.427225,0.070704,0.176634,0.03798,0.141907
230,0.280903,0.028407,0.146267,0.024581,0.081648
231,0.306387,0.023022,0.161046,0.036691,0.085628
232,0.501336,0.032028,0.36546,0.025443,0.078405
233,0.38308,0.026691,0.19474,0.038229,0.12342
234,0.329984,0.028366,0.20239,0.021264,0.077964
235,0.466649,0.025204,0.283481,0.037718,0.120246
236,0.372337,0.026616,0.213697,0.051375,0.080649
237,0.326693,0.036402,0.139785,0.037882,0.112624
