backend,batch_size,compute_mean_ms_per_graph,transfer_mean_ms_per_graph,e2e_mean_ms_per_graph,throughput_mean_graphs_per_s
cpu_compile,1,1.2309170561523437,0.0,1.2309170561523437,1055.866375284623
cpu_compile,2,0.5633269499511718,0.0,0.5633269499511718,1792.8917255221338
cpu_compile,4,0.3370153068847656,0.0,0.3370153068847656,3010.6143134616
cpu_compile,8,0.22190696826171874,0.0,0.22190696826171874,4964.240593137035
cpu_compile,16,0.41282350537109375,0.0,0.41282350537109375,3644.4709280843317
cpu_compile,64,0.10503400561523438,0.0,0.10503400561523438,9685.601845916679
cpu_eager,1,1.329537932373047,0.0,1.329537932373047,759.6906894606494
cpu_eager,2,0.7426745832519531,0.0,0.7426745832519531,1361.7734580191789
cpu_eager,4,0.4335540869140625,0.0,0.4335540869140625,2326.2415367190356
cpu_eager,8,0.2997045817871094,0.0,0.2997045817871094,3397.8349021588056
cpu_eager,16,0.2764514311523438,0.0,0.2764514311523438,3742.7357250456316
cpu_eager,64,0.157910734375,0.0,0.157910734375,6521.554108926331
gpu_compile,1,1.601499251963105,0.08862595315531507,1.6901252051184201,698.1937431390671
gpu_compile,2,0.6800963845380466,0.04458020313086308,0.7246765876689096,1379.982813089222
gpu_compile,4,0.3401721489863121,0.022500437469716417,0.3626725864560285,2757.5675843380172
gpu_compile,8,0.171793797002465,0.011737554681531037,0.18353135168399604,5450.768620541989
gpu_compile,16,0.08633226572419517,0.0060947578167542815,0.09242702354094945,10820.164861620384
gpu_compile,64,0.023129328146751504,0.0019863437410094775,0.025115671887760982,39824.13452596607
gpu_eager,1,2.172252540003683,0.08412822655554919,2.256380766559232,443.5801455987154
gpu_eager,2,1.0934537192079006,0.04258904689322662,1.1360427661011272,880.4617734447838
gpu_eager,4,0.5517406646467862,0.021467812502123707,0.5732084771489099,1745.80749866501
gpu_eager,8,0.28359803899365943,0.011965437486651354,0.2955634764803108,3390.9549929310238
gpu_eager,16,0.1449045625049621,0.005883726559659408,0.1507882890646215,6634.4129816050145
gpu_eager,64,0.039202632739034016,0.0018564140618764213,0.04105904680091044,24367.023577209
