backend,batch_size,compute_mean_ms_per_graph,transfer_mean_ms_per_graph,e2e_mean_ms_per_graph,throughput_mean_graphs_per_s
cpu_compile,1,0.958864806640625,0.0,0.958864806640625,1058.5925244111727
cpu_compile,2,0.566634205078125,0.0,0.566634205078125,1788.699661923723
cpu_compile,4,0.3461327109375,0.0,0.3461327109375,2934.540156464515
cpu_compile,8,0.8997639814453126,0.0,0.8997639814453126,3877.8314340526804
cpu_compile,16,0.285820037109375,0.0,0.285820037109375,4798.254264537449
cpu_compile,64,0.08773692578125,0.0,0.08773692578125,11452.707686246695
cpu_eager,1,1.75046425390625,0.0,1.75046425390625,586.0308734612186
cpu_eager,2,0.8195606181640624,0.0,0.8195606181640624,1240.8470546116348
cpu_eager,4,0.466268234375,0.0,0.466268234375,2165.601113782346
cpu_eager,8,0.4772199267578125,0.0,0.4772199267578125,2569.3314862294005
cpu_eager,16,2.094173919921875,0.0,2.094173919921875,1713.324441613242
cpu_eager,64,0.445754318359375,0.0,0.445754318359375,3397.6742506480527
gpu_compile,1,1.2684219077054877,0.08379875006903603,1.3522206577745237,750.1516096259143
gpu_compile,2,0.69108250059071,0.04486575000191806,0.735948250592628,1362.9174101346075
gpu_compile,4,0.34803590629599057,0.022725375019945204,0.3707612813159358,2707.4984418493154
gpu_compile,8,0.17351378154125996,0.011757906246202765,0.18527168778746272,5398.27542954439
gpu_compile,16,0.09149837488075718,0.006089781254559057,0.09758815613531624,10392.838882172415
gpu_compile,64,0.02347968748654239,0.001841187502577668,0.025320874989120057,39495.73449898016
gpu_eager,1,1.9126283430232434,0.07181674999992538,1.9844450930231687,570.9549467275637
gpu_eager,2,0.8601899679197231,0.03522012501343852,0.8954100929331616,1119.2660445750123
gpu_eager,4,0.4484307508828351,0.0181499687514588,0.46658071963429393,2156.5754271545256
gpu_eager,8,0.2318098750547506,0.009892937498079846,0.24170281255283044,4143.206332660778
gpu_eager,16,0.11857793714443687,0.0050611875085451175,0.12363912465298199,8092.192050031408
gpu_eager,64,0.03289665642660111,0.001653968749451451,0.03455062517605256,28999.94410747362
