backend,batch_size,compute_mean_ms_per_graph,transfer_mean_ms_per_graph,e2e_mean_ms_per_graph,throughput_mean_graphs_per_s
cpu_compile,1,0.9632456488647461,0.0,0.9632456488647461,1119.4912897671095
cpu_compile,2,0.5305254619750976,0.0,0.5305254619750976,1907.833435555865
cpu_compile,4,0.3167522483520508,0.0,0.3167522483520508,3182.6463093156285
cpu_compile,8,0.1956891055908203,0.0,0.1956891055908203,5224.305048198244
cpu_compile,16,0.2521187578125,0.0,0.2521187578125,4730.280001853124
cpu_compile,64,0.08357884265136718,0.0,0.08357884265136718,12139.280426031071
cpu_eager,1,1.4431192659301757,0.0,1.4431192659301757,699.3650835201618
cpu_eager,2,0.7896503352050781,0.0,0.7896503352050781,1280.6714179976943
cpu_eager,4,0.48837775695800784,0.0,0.48837775695800784,2075.9486639394718
cpu_eager,8,0.3075379555053711,0.0,0.3075379555053711,3297.784105745115
cpu_eager,16,0.27281436962890626,0.0,0.27281436962890626,3846.9627783595547
cpu_eager,64,0.16595468499755858,0.0,0.16595468499755858,6274.905733383194
gpu_compile,1,1.13527595942287,0.07255695513833871,1.2078329145612088,870.3840458344582
gpu_compile,2,0.543508964117791,0.036325851615060856,0.5798348157328519,1725.11765449158
gpu_compile,4,0.2725444639318084,0.01837980664663519,0.2909242705784436,3438.378075409731
gpu_compile,8,0.1370905074345501,0.009683701162884972,0.14677420859743506,6813.8907003081995
gpu_compile,16,0.06905350187935255,0.005089070315762001,0.07414257219511455,13490.266136850509
gpu_compile,64,0.01849573633990076,0.001798886717097048,0.020294623056997807,49316.199491658765
gpu_eager,1,1.6995795185794123,0.07029903522482073,1.769878553804233,565.277717994132
gpu_eager,2,0.8523141938067056,0.0352967676165008,0.8876109614232064,1127.117596704551
gpu_eager,4,0.4279283739342645,0.017914001948270197,0.4458423758825347,2244.5865756139797
gpu_eager,8,0.21696851744218293,0.009658476560844065,0.226626994003027,4419.331266386987
gpu_eager,16,0.11065196861818549,0.005268591798085254,0.11592056041627075,8633.891737792632
gpu_eager,64,0.030910009752005863,0.0016330332068719144,0.03254304295887778,30784.23545884051
